presentationId;timeslot;startTime;endTime;presentationDesc;referee_refereeId;room_roomId
pres1;13:40 - 14:10 Uhr;13:40:00;14:10:00;Digitalisierung in der Technik - SAP Integration von IoT Services bei der BVB;ref1;Sky Lounge 3
pres2;13:40 - 14:10 Uhr;13:40:00;14:10:00;Künstliche Intelligenz im Finance-Bereich;ref2;Champions Lounge
pres3;13:40 - 14:10 Uhr;13:40:00;14:10:00;SAP HCM for SAP S/4HANA - Überblick und Erfahrungsbericht;ref3;Sky Lounge 1+2
pres4;14:20 - 14:50 Uhr;14:20:00;14:50:00;Bernmobil - schlanke & technische Conversion mit Ablösung SRM durch SSP;ref1;Skylounge 3
pres5;14:20 - 14:50 Uhr;14:20:00;14:50:00;SAP Integration Suite - die Zukunft des Datenflusses in hybriden SAP-Systemlandschaften und ihren Umsystemen;ref2;Champions Lounge
pres6;14:20 - 14:50 Uhr;14:20:00;14:50:00;SAP Spatial Asset Management - Verbesserung der Datenqualität durch Visualisierung;ref3;Skylounge 1+2
pres7;15:30 - 16:00 Uhr;15:30:00;16:00:00;Erweiterte Analytics-Funktionen durch Nutzung von KI;ref1;Champions Lounge
pres8;15:30 - 16:00 Uhr;15:30:00;16:00:00;Low-Code-Entwicklung mobiler Anwendungen und KI zur Digitalisierung von Kundenserviceprozessen;ref2;Skylounge 1+2
pres9;15:30 - 16:00 Uhr;15:30:00;16:00:00;SAP Quality Issue Resolution - So lösen Sie in Zukunft Qualitätsprobleme mit Lieferanten und Kunden;ref3;Skylounge 3
