roomId;name;description;location
Champions Lounge;Champions Lounge;Stock 1;Champions Lounge
Skylounge 1+2;Skylounge 1+2;Stock 2;Skylounge 1+2
Skylounge 3;Skylounge 3;Stock 2;Skylounge 3
